EducationKey,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","Literacy rate, adult total (% of people ages 15 and above)",PISA: Mean performance on the mathematics scale,"Literacy rate, adult female (% of females ages 15 and above)","Public spending on education, total (% of GDP)",PISA: Mean performance on the reading scale,PISA: Mean performance on the science scale,"School enrollment, tertiary (% gross)","Literacy rate, adult male (% of males ages 15 and above)"
0,..,97.3645706176758,101.391189575195,..,..,..,4.76588010787964,..,..,..,..
1,0.99067,101.8740234375,95.0524826049805,..,..,..,..,..,..,80.6348266601563,..
2,1.00329,106.386169433594,105.421966552734,..,..,..,4.94915008544922,..,..,58.9660987854004,..
3,1.00645,104.636489868164,106.781677246094,..,..,..,..,..,..,53.8823318481445,..
4,1.02393,103.106376647949,102.279586791992,..,..,..,..,..,..,..,..
5,0.98755,95.8049926757813,104.059707641602,..,..,..,6.5064001083374,..,..,81.9538421630859,..
6,1.00904,102.739318847656,..,..,..,..,4.91029977798462,..,..,..,..
7,1.0889,98.7315902709961,124.099716186523,..,..,..,8.08557033538818,..,..,80.37451171875,..
8,1.00331,100.462341308594,159.89013671875,..,..,..,5.79585981369019,..,..,61.0854797363281,..
9,..,98.8806304931641,101.728248596191,..,527.007178886688,..,..,527.01129533033,534.469777292383,..,..
10,..,..,..,..,474.352157500162,..,..,..,488.906836775351,..,..
11,1.006,105.068580627441,98.2442169189453,..,495.444158833462,..,4.9968900680542,495.083509651635,514.773547839566,59.0324401855469,..
12,1.00624,104.278846740723,106.927520751953,..,495.538332644515,..,..,487.706247187242,495.219838638056,53.8754196166992,..
13,0.99995,104.213256835938,103.058288574219,..,503.790858681686,..,4.2939600944519,494.944417879441,515.64913003029,..,..
14,1.01014,95.6480865478516,103.569053649902,..,502.356398784186,..,6.36429023742676,507.312880076813,503.334005841912,79.3247985839844,..
15,0.97951,103.304046630859,..,..,519.907748659007,..,4.75019979476929,512.893291356557,526.879588557918,..,..
16,1.09523,99.3014373779297,119.999839782715,..,513.02595000311,..,7.72990989685059,494.482980693314,495.894309967212,79.0196304321289,..
17,0.99615,100.734191894531,161.01921081543,..,520.348972592357,..,..,500.900594724678,510.363483623215,61.6535911560059,..
18,..,98.9664764404297,101.90348815918,..,..,..,4.7664098739624,..,..,63.6000595092773,..
19,..,..,..,..,..,..,..,..,..,..,..
20,1.00265,103.240600585938,97.1941986083984,..,..,..,4.92887020111084,..,..,58.4945106506348,..
21,0.99774,103.85977935791,106.69352722168,..,..,..,..,..,..,52.9475402832031,..
22,0.99434,104.786338806152,102.242286682129,..,..,..,4.36679983139038,..,..,..,..
23,0.98762,96.6978073120117,102.386901855469,..,..,..,6.17158985137939,..,..,74.8371124267578,..
24,0.98395,105.183052062988,..,..,..,..,4.66089010238647,..,..,..,..
25,1.07668,100.014671325684,118.75887298584,..,..,..,7.61560010910034,..,..,78.5521926879883,..
26,1.00403,101.534217834473,159.514266967773,..,..,..,..,..,..,61.2001304626465,..
27,..,98.013313293457,102.344436645508,..,..,..,4.62612009048462,..,..,63.7673988342285,..
28,..,..,..,..,..,..,..,..,..,..,..
29,1.00064,105.061889648438,98.3396606445313,..,..,..,4.9051399230957,..,..,56.6439094543457,..
30,1.007,103.622146606445,106.432838439941,..,..,..,..,..,..,52.4755210876465,..
31,0.99807,104.023979187012,103.308319091797,..,..,..,4.43594980239868,..,..,..,..
32,0.99741,98.7149200439453,101.303497314453,..,..,..,6.34455013275146,..,..,70.7369613647461,..
33,0.97924,105.141120910645,..,..,..,..,4.63776016235352,..,..,..,..
34,1.10924,99.6147918701172,117.841232299805,..,..,..,7.47604990005493,..,..,75.6820907592773,..
35,0.99836,102.157562255859,158.743408203125,..,..,..,6.33294010162354,..,..,62.086238861084,..
36,..,99.0087966918945,102.734443664551,..,526.805152750932,..,4.84057998657227,524.241833408575,528.704953213355,63.0657691955566,..
37,..,..,..,..,487.396520406538,..,..,499.826821131663,502.002265007935,..,..
38,1.00316,104.259788513184,100.169769287109,..,492.414078206256,..,5.07645988464355,494.182010308355,513.710240139805,57.9005317687988,..
39,0.9962,103.041137695313,106.239227294922,..,496.782310397535,..,..,495.616541310945,498.22689391511,52.7731018066406,..
40,1.00057,103.396423339844,103.158248901367,..,512.777642599843,..,4.90951013565063,497.305058150888,520.405349483897,..,..
41,1.00759,99.902961730957,99.4897308349609,..,494.238175422399,..,6.74971008300781,497.449423526009,495.105898116161,70.7431564331055,..
42,0.98542,105.302131652832,..,..,514.34046239919,..,5.08582019805908,514.900655197261,527.270534026533,..,..
43,1.09812,99.5653686523438,117.975616455078,..,503.278147161397,..,8.44888019561768,494.916161796397,499.336974686113,74.2837600708008,..
44,1.00626,102.127563476563,156.638366699219,..,515.272276873881,..,6.45809984207153,505.945796158684,506.575526260289,65.267692565918,..
45,..,98.6416015625,102.398483276367,..,..,..,5.356369972229,..,..,61.6558494567871,..
46,1.02389,..,..,..,..,..,..,..,..,..,..
47,1.00409,104.554908752441,102.904678344727,..,..,..,5.69974994659424,..,..,58.9233512878418,..
48,1.00376,102.761512756348,106.424942016602,..,..,..,..,..,..,54.881721496582,..
49,1.00011,102.995880126953,103.974838256836,..,..,..,4.94367980957031,..,..,..,..
50,1.00473,101.437637329102,98.1203079223633,..,..,..,6.52268981933594,..,..,73.6731109619141,..
51,0.98376,105.619430541992,..,..,..,..,5.55005979537964,..,..,..,..
52,0.99727,99.5820083618164,119.496849060059,..,..,..,8.55955028533936,..,..,73.5966720581055,..
53,1.00381,101.924240112305,156.861526489258,..,..,..,6.44259023666382,..,..,67.8290100097656,..
