CountryKey,YearKey,EventKey
96,0,23
80,0,48
80,0,49
112,0,21
81,1,50
98,2,93
82,2,51
50,2,87
18,2,0
18,2,40
100,4,24
84,4,52
84,4,53
101,5,94
85,5,54
69,5,13
21,5,1
102,6,25
102,6,26
22,6,2
22,6,41
103,7,95
23,7,42
104,8,27
56,8,88
24,8,43
105,9,28
105,9,29
105,9,96
105,9,97
89,9,55
73,9,14
106,10,30
106,10,31
90,10,56
90,10,57
90,10,58
90,10,59
90,10,60
90,10,61
90,10,62
58,10,89
122,10,22
74,10,15
107,11,32
107,11,33
107,11,34
107,11,35
107,11,98
107,11,99
107,11,100
107,11,101
107,11,102
107,11,103
91,11,63
91,11,64
91,11,65
91,11,66
91,11,67
91,11,68
91,11,69
91,11,70
91,11,71
91,11,72
91,11,73
59,11,90
27,11,3
27,11,44
27,11,45
44,12,9
44,12,10
108,12,36
92,12,74
92,12,75
92,12,76
92,12,77
92,12,78
92,12,79
92,12,80
92,12,81
60,12,91
60,12,92
28,12,46
45,13,11
45,13,12
109,13,37
109,13,38
109,13,39
93,13,82
93,13,83
93,13,84
93,13,85
93,13,86
77,13,16
77,13,17
77,13,18
29,13,4
29,13,5
29,13,47
110,14,104
110,14,105
110,14,106
110,14,107
110,14,108
78,14,19
30,14,6
30,14,7
79,15,20
31,15,8
