EventKey,YearKey,Name,Description,Type
0,2,Economic shocks,There was an economic crisis that exacerbated the tensions between the rich Flanders region and the other two poorer regions in the country,Precursor
1,5,Extremist/populist parties,"The 2007 financial crisis severely effected the 2010 elections as it resulted in the rise of two new radical parties, the left-wing Belgian Workers' Party and the right-wing Popular Party",Precursor
2,6,Polarization,"After a period of stagnation that arose because it took 541 days for the Prime Minister to form a government, the northern Dutch-speaking region moved more towards the right while the southern French-speaking region moved towards the left",Precursor
3,11,Curtailed civil liberties,Human Rights Report discovered that there was excessive use of force by police in 25 out of 26 counterterrorism operations from February to September,Symptom
4,13,Extremist/populist parties,The conservative Flemish party gained more power by running on an anti-immigrant platform,Precursor
5,13,No confidence votes/decreased voter turnout,"The Prime Minister of Belgium, Charles Michel, resigned after a no-confidence vote that was in part a response to his support for migrants",Symptom
6,14,Extremist/populist parties,"The far-right increased its number of seats from three to fifteen in the election, which was a reflection of rising racism and racist attacks in the country",Precursor
7,14,Check on executive by legislature,The Minister of Equal Opportunity launched a campaign against racism and discrimination as a means to reduce polarization of the public and therefore the government,Resistance
8,15,Delegitimizing or weakening judiciary,"The police were given much-increased powers, with little oversight, to perform raids and enforce security during counterterrorism operations",Precursor
9,12,Nonstate violence,"A Canadian gunman attacks a Quebec City mosque, killing 6 and injuring 19.",Precursor
10,12,Curtailed civil liberties,Citizens have less access to information regarding the Office of the Prime Minister's actions.,Symptom
11,13,Nonviolent protest,"Canadians protested the construction of the Kinder Morgan pipeline, a project which Prime Minister Justin Trudeau promised to oppose during his campaign.",Resistance
12,13,Curtailed civil liberties,Canadians protesting the construction of the Kinder Morgan pipeline were jailed.,Symptom
13,5,Curtailed civil liberties,The Alien Act of 2002 was strengthened with legislation that increased the cost of immigration and increased the difficulty of tests to qualify for reunification,Symptom
14,9,Refugee crisis,"Over 34,000 refugees sought asylum in Denmark between 2014 and 2015, compared to less than 3,500 in 2009.",Precursor
15,10,Refugee crisis,"In response to an increase in immigration from 2002-2015, the requirements for becoming a Danish citizen are expanded and made much more difficult including more intense language requirements, a longer and more complicated tests, and a larger number of factors which exclude individuals from eligibility.",Precursor
16,13,Cooptation of the opposition,"The  Danish People's Party, a right-wing party with a large number of parliamentary seats, have established a bond/coalition with the Social Democrats, with their candidate for prime minister stating she is ""happy to accept parliamentary support from the DPP"" pulling the Social Democrats further to the right and making it hard for more socially liberal parties to succeed.",Precursor
17,13,Extremist/populist parties,"In response to an increase in immigration starting in 2002, politics and politicians have become increasingly more anti-immigrant and populistic, and Prime Minister Lars Rasmussen gave a speech about immigrant neighborhoods reaching ""out their tentacles onto the streets” and that because of ghettos of immigrant populations, “cracks have appeared on the map of Denmark.”",Precursor
18,13,Increasing control of civil society,"The rights of immigrants, particularly Muslim immigrants, are being impinged upon through programs such as mandatory schooling in ""Danish Values"" for children, who are required to be separated from their parents for at least 25 hours a week.",Precursor
19,14,Extremist/populist parties,The Social Democrats won the election with adopted far-right anti-immigration agenda,Precursor
20,15,Nonviolent protest,Some parents protested online refusing to send their children back to schools and nurseries as coronavirus lockdown measures are eased,Resistance
21,0,Horizontal corruption,"Emergence of tradition in which long serving politicians are rewarded by appointments to favourable jobs in government by their associates, without public transparency",Precursor
22,10,Refugee crisis,Influx of immigrants beginning in 2015 and peaking in 2016,Precursor
23,0,Nonstate violence,A terrorist attack targeted commuters on public transit in Central London.,Precursor
24,4,Economic shocks,Eurozone Crisis causes an employment shock in the rest of the EU (the UK was less affected due to using the Pound) and the UK began to absorb unemployed individuals from around the EU.,Precursor
25,6,Economic shocks,"Following the 2008 financial crisis, austerity measures and reduction in funding for various public programs were put into place, resulting in the largest protests in the United Kingdom in many years.",Precursor
26,6,Horizontal corruption,The Metropolitan Police was implicated in a phone hacking and corruption scandal and subsequently investigated.,Precursor
27,8,Media repression,"Section 40 of the Crimes and Courts Act implemented a new media restriction, stipulating that news publishers not approved by the regulatory press body can be forced to pay both sides' legal fees in a court case, even if the news publisher wins the case.",Symptom
28,9,Curtailed civil liberties,"The Data Retention and Investigatory Powers Act (DIRPA) passed, allowing authorities to access citizen phone and internet records, and requiring telecommunication companies to store communications data for twelve months.",Symptom
29,9,Curtailed civil liberties,The Immigration Act of 20114 prevented illegal immigrants from accessing public housing and makes it easier for the government to deport illegal immigrants.,Symptom
30,10,Extremist/populist parties,"The United Kingdom Independence Party (UKIP) rose in prominence, running on a nationalist, anti-immigrant, and anti-European Union platform, gaining 12% of the vote.",Precursor
31,10,Check on executive by judiciary,A high Court ruled that the Data Retention and Investigatory Powers Act (DIRPA) was unlawful.,Resistance
32,11,External influence,"The head of the National Cyber Security Center released a report which showed that Russia, in the past 12 months leading up to the referendum, had engaged in cyber-attacks against the UK, and Russia was connected to thousands of tweets which were published the day of the referendum with the hashtag #ReasonsToLeaveEU.",Precursor
33,11,Lack of legitimacy,David Cameron stepped down as Prime Minister following the Brexit vote.,Precursor
34,11,Curtailed civil liberties,"The Immigration Act of 2016 criminalized employers who hire illegal immigrants and landlords who allow illegal immigrants to rent property, prevents illegal immigrants from accessing bank accounts and drivers' licenses, and gives authorities more leverage to enforce immigration policies and deport those who have entered the country on human rights or asylum grounds.",Symptom
35,11,Curtailed civil liberties,"Following a terrorist attack in Paris, the government passed the Investigatory Powers Act which reduces restrictions for the collection of communications data.",Symptom
36,12,Polarization,"Parliamentary elections saw no party receiving the majority, making negotiations for Brexit very difficult, and causing a lot of gridlock.",Precursor
37,13,Nonviolent protest,"The People's Vote campaign emerged as a protest movement against Brexit, calling for a public vote on the final deal reached between the United Kingdom and the European Union.",Resistance
