HealthKey,Domestic general government health expenditure (% of GDP),"Hospital beds (per 1,000 people)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)","Stillbirth rate (per 1,000 total births)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of current tobacco use (% of adults),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)"
0,6.59905815,3.1,14,93,94,93,5.2,2.971604709,9.9467,,,,,,94.329,57.101
1,6.62940884,3.2,93,96,92,92,6.7,2.985313589,9.9177,,,,,9.49,141.969,81.507
2,6.86174393,3.72,,91,82,91,5.1,4.24686781,11.87,4.8134,,,,13.89,97.444,61.571
3,7.41065979,7.22,35,98,87,98,3.3,4.594668145,8.1181,6.6327,,,,13.09,126.589,56.754
4,7.80344439,8.47,90,96,96,95,3.9,2.610207775,12.4996,3.4314,,0.1,,13.28,111.806,57.71
5,6.70755053,2.93,,98,96,98,3,3.035294294,11.1716,3.4509,,,,8.64,79.604,51.076
6,5.73987436,3.9,95,92,94,92,4.8,2.835246424,9.7628,2.7794,,0.1,,12.08,85.447,47.595
7,7.61281252,3.86,,93,95,93,4.2,2.605724535,9.8279,3.3333,,0.1,,12.29,111.142,69.267
8,6.89790821,6.44,77,97,88,97,4,3.235151182,9.4046,2.8521,,,,13.13,114.317,62.164
9,6.4866991,3.02,14,95,93,95,5.2,3.037840866,10.0236,1.9086,,,,,91.806,55.857
10,6.80890989,3.18,93,96,92,93,6.7,2.962895127,,,,,,,141.119,80.928
11,7.06341505,3.54,,92,85,92,5,4.172086459,11.57,4.9087,,,,,99.258,60.822
12,7.40223742,7.11,39,99,89,99,3.3,4.527372656,8.3198,6.6225,,,,,123.283,56.165
13,7.65940762,8.3,87,96,96,94,3.8,2.524627399,12.6423,3.4748,,0.1,,,108.484,56.008
14,6.63158321,2.89,,98,97,98,2.8,2.988525345,11.3213,3.5371,,,,,77.773,49.434
15,5.72573614,3.93,95,92,94,92,4.7,2.847147581,,2.8338,,0.1,,,82.945,48.235
16,7.68989229,3.79,,93,90,93,4,2.489988387,9.7904,3.4192,,0.1,,,115.834,68.409
17,6.8076849,6.35,94,98,92,99,4,3.216214564,9.5324,2.8664,,,,,110.936,61.11
18,6.57271051,2.96,14,94,94,99,5.1,3.099828202,10.1208,,,,28.1,,91.762,55.455
19,6.9233551,3.14,93,96,92,93,6.6,2.990365551,,,,,29.1,,138.605,79.447
20,7.0624342,3.39,,92,86,92,4.9,4.09587707,11.0266,4.9607,,,30.3,,97.559,60.006
21,7.33408403,7.06,42,99,90,99,3.2,4.493520958,8.1853,6.5901,,,34.5,,120.77,54.815
22,7.55543995,8.24,86,96,97,95,3.7,2.436869888,12.8448,3.5287,,0.1,31.2,,106.198,55.294
23,6.59803152,2.86,,98,96,98,2.7,2.980534987,11.4345,3.6204,,,41.7,,77.631,47.552
24,5.88174677,,94,92,94,92,4.5,2.898324393,10.1586,2.9954,,0.1,22.4,,84.729,48.119
25,7.80592728,3.69,,87,89,87,3.8,2.375087663,9.5406,3.4527,,0.1,28.5,,115.937,69.511
26,6.77582026,6.27,94,98,92,99,3.9,3.189399669,9.6536,2.8855,,,27.8,,109.277,63.062
27,6.70117044,2.85,28,92,93,96,5.1,3.06817921,10.289,1.959,,,,,89.926,55.879
28,7.25172758,3.13,94,96,92,94,6.5,3.08444569,,,,,,,136.811,78.705
29,7.38709784,3.33,,92,86,92,4.8,4.009589099,10.9344,5.1063,,,,,96.722,60.097
30,7.4163928,6.9,47,99,89,99,3.2,4.496407185,8.4741,6.5837,,,,,118.248,55.022
31,7.71768188,8.21,87,96,97,95,3.6,2.341947825,13.1005,3.5863,,0.1,,,104.309,54.726
32,6.7719183,2.81,,98,96,98,2.6,2.96220734,11.4697,3.6749,,,,,75.892,47.389
33,5.97145414,3.82,94,92,94,92,4.4,2.932136445,10.2627,3.0056,,0.1,,,81.993,46.643
34,7.99141836,3.57,,88,87,88,3.7,2.26746988,9.8167,3.5768,,0.1,,,107.446,67.182
35,7.2696805,6.25,98,99,93,99,3.8,3.138696838,9.7552,2.9021,,,,,111.631,61.626
36,7.52118206,2.8,42,91,91,93,5,2.992871117,10.3743,,,,,,87.745,54.772
37,7.87523222,3.08,92,95,90,93,6.4,2.969908681,,,,,,,134.966,79.055
38,8.17551804,3.26,,93,86,93,4.6,3.913269791,10.6783,5.2479,,,,,94.258,58.132
39,7.97806454,6.66,51,98,89,98,3.1,4.491379923,8.7688,6.4945,,,,,118.419,55.372
40,8.50212383,8.24,88,96,97,95,3.5,2.281860086,13.4734,3.6638,,0.1,,,103.586,54.228
41,7.23678303,2.76,,98,97,98,2.6,2.921757666,11.489,3.7438,,,,,74.488,46.728
42,6.25201321,3.77,94,92,94,92,4.2,2.91544232,10.7496,3.1085,,0.1,,,81.768,47.91
43,9.01539803,3.49,,89,84,89,3.6,2.187493579,10.0744,3.6488,,0.1,,,106.703,64.924
44,7.87510061,6.15,97,98,95,98,3.7,3.080297786,9.8818,2.9078,,,,,107.237,61.099
45,7.47694063,2.78,56,89,90,90,5,2.92952011,9.3233,2.0384,,,24.7,10.1,85.388,52.65
