PopulationKey,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Net migration,Population growth (annual %),"Labor force, female (% of total labor force)","Labor force, total",Rural population growth (annual %),Urban population growth (annual %),Rural population (% of total population),Urban population (% of total population)
0,82.6,77.9,80.1926829268293,,0.944466927450734,46.6373760891524,17821886,0.557844254173616,1.04061858829188,19.878,80.122
1,80.1,75,77.4878048780488,,0.921713167161207,45.8854194295737,151976098,0.0733898148736528,1.13588459113456,20.072,79.928
2,81.2,77,79.0487804878049,,0.68661130607346,45.8478083088339,30850081,-0.72729480806256,1.04513367651541,20.085,79.915
3,83.8,76.7,80.1634146341463,,0.753799176960609,46.8478383373751,28960856,-0.320426069481928,1.07455109024098,22.87,77.13
4,81.8,76.2,78.9317073170732,,-0.0567782618352031,45.0963087775203,41232898,-0.89009829883984,0.208115300433845,24.02,75.98
5,82.8,78.4,80.5463414634146,,0.399942762807279,47.503174017185,4688853,0.0116538221666779,0.472320307976532,15.681,84.319
6,83.3,78.5,80.8414634146341,,1.31978955436191,44.6728515309733,10531732,0.550923764293113,1.46058120993102,15.418,84.582
7,80.2,75.6,77.8439024390244,,0.275481733409308,46.7839143322441,2891543,-1.75420067622539,0.613841537988877,14.144,85.856
8,81.9,76.2,78.9804878048781,,0.550055708089009,44.012453174172,4627254,-1.47005146001006,0.604479238401223,2.59699999999999,97.403
9,82.7,78.1,80.3439024390244,,1.01033450270045,46.8751721022556,18030705,0.551491248878675,1.12384675481251,19.787,80.213
10,80.3,75.2,77.6878048780488,,0.964253917136075,45.8667040645259,153855509,0.108670280303657,1.17796815968651,19.901,80.099
11,81.4,77.2,79.2487804878049,,0.73504867842129,45.9036981680864,31344492,-0.689030673720119,1.08979547464129,19.801,80.199
12,84.5,77.3,80.8121951219512,,0.697191228293622,46.9814387052575,29121837,-0.388701996499674,1.01691847691652,22.623,77.377
13,82,76.4,79.1317073170732,,-0.112797497644931,45.4127130112577,41686001,-0.94472587678598,0.148771505773609,23.821,76.179
14,82.9,78.7,80.7487804878049,,0.562483906481893,47.4596897955197,4750286,-0.147856984518276,0.694032980903411,15.57,84.43
15,83.5,78.7,81.0414634146342,,1.47522794532757,44.8137349829524,10778084,0.706962850499227,1.61463706779604,15.3,84.7
16,80.4,75.9,78.0951219512195,,0.328645158919929,46.9756400766731,2916799,-1.39701460287901,0.610096500558927,13.902,86.098
17,82.3,76.6,79.380487804878,,0.659558214980699,44.275447402425,4644197,-1.32390532490679,0.711907500572579,2.54600000000001,97.454
18,82.9,78.3,80.5439024390244,1326431,0.971135141368055,47.0367127041087,18379605,0.0419781487099549,1.19901884209158,19.604,80.396
19,80.6,75.5,77.9878048780488,5428756,0.951055242772428,45.9091139255511,155224880,0.0931570901609545,1.16306776101756,19.731,80.269
20,81.6,77.4,79.4487804878049,2189404,0.778666112441256,45.8036288395527,31545732,-0.645498561587356,1.12718995503098,19.521,80.479
21,84.8,77.6,81.1121951219512,446120,0.618708359125178,47.2176043395393,29370122,-0.46570233706282,0.933552495930575,22.379,77.621
22,82.3,76.9,79.5341463414634,43087,-0.133718572600486,45.6021928620459,41856167,-0.972624936417963,0.127167671405373,23.622,76.378
23,83,78.9,80.9,262453,0.741552514625445,47.5157840190693,4824500,-0.278425345929474,0.928518962327078,15.412,84.588
24,83.7,79,81.2926829268293,1210802,0.624678435014185,44.9021282133794,10941713,-0.175916829079821,0.76861501629068,15.178,84.822
25,80.5,76,78.1951219512195,87989,0.443466054321374,46.8976954113383,2924600,-0.969240330493392,0.669712104371388,13.707,86.293
26,82.6,77.1,79.7829268292683,294270,0.734330830765919,44.5456452434672,4724271,-1.2892233835824,0.786651495882078,2.495,97.505
27,83,78.5,80.6951219512195,,1.08290711607014,46.9747541914123,18667574,0.150191983656897,1.30902990520455,19.422,80.578
28,80.6,75.6,78.0390243902439,,0.945865287282592,46.0563357742212,156907793,0.0856572616332229,1.15618567133535,19.562,80.438
29,81.7,77.6,79.6,,0.787032622318939,45.8215024980095,31947237,-0.647312855625716,1.13186919618862,19.243,80.757
30,84.8,77.8,81.2146341463415,,0.558843467315968,47.3227223238786,29578964,-0.551005341377481,0.876550913105713,22.132,77.868
31,82.4,77.2,79.7365853658537,,-0.190142844695674,45.5925888526803,41910272,-1.02760728004144,0.0674524949232638,23.425,76.575
32,83.2,79.1,81.1,,0.779033290770134,47.4329006302381,4891961,-0.25146776679838,0.96565304883884,15.254,84.746
33,83.7,79.2,81.3951219512195,,2.00402174031569,45.0158396153274,11234490,1.20362325009444,2.14657127926835,15.057,84.943
34,80.7,76.3,78.4463414634146,,0.587547590258978,46.7449601321973,2919273,-0.837858836427194,0.812104326450457,13.513,86.487
35,82.6,76.9,79.6804878048781,,0.789976845480149,44.8287788895034,4773360,-1.23424152522468,0.841239515661802,2.44499999999999,97.555
36,83.3,78.8,80.9951219512195,,1.14175809912162,47.2003768254477,18799155,0.210657043137183,1.36489394771959,19.242,80.758
37,80.9,76,78.390243902439,,0.876651298802912,46.2744591141085,157079943,0.0141332145804876,1.08529029428822,19.394,80.606
38,82.1,78.1,80.0512195121951,,0.756390859593407,46.0812931645524,32114459,-0.677734878009573,1.09510526789302,18.969,81.031
39,85,78,81.4146341463415,,0.51448954376938,47.4534920531677,29841513,-0.61695583255272,0.833751507575813,21.883,78.117
40,82.5,77.3,79.8365853658537,,-0.253383410163402,45.7874343299062,41974586,-1.09361469759633,0.00224726200833851,23.229,76.771
41,83.4,79.4,81.3512195121951,,0.851904412936677,47.3978352933123,4908471,-0.175998434187412,1.03580660075872,15.098,84.902
42,83.9,79.3,81.5439024390244,,2.0610451296841,45.1718771090282,11475961,1.26087513592047,2.20221763850756,14.937,85.063
43,80.8,76.5,78.5975609756098,,0.535079062079429,47.0163471869418,2910409,-0.708502319928255,0.727990766226651,13.346,86.654
44,82.8,77.4,80.0341463414634,,0.804599572619861,45.0319260463328,4796084,-1.17815407099429,0.853791422542778,2.39700000000001,97.603
45,83.5,79.1,81.2463414634146,,1.11186407517168,47.3105135439399,19001081,0.177253215195272,1.33326871439499,19.063,80.937
46,81,76.2,78.5414634146342,,0.829616674709795,46.2776845426185,157111093,-0.0300018427486857,1.03534480069191,19.228,80.772
47,82.4,78.5,80.4024390243902,,0.783888646646516,46.1307668483647,32288000,-0.6550637943101,1.11777108530512,18.698,81.302
48,85.3,78.2,81.6634146341463,,0.494040602950225,47.5128651982655,29956981,-0.664214156447613,0.816112721485516,21.631,78.369
49,82.6,77.5,79.9878048780488,,-0.153198446937304,45.8603551067452,41963382,-0.996210590149904,0.100481934472227,23.034,76.966
50,83.5,79.5,81.4512195121951,,0.852524628765313,47.142810324102,4943074,-0.172740981094966,1.03375039522615,14.944,85.056
51,84,79.5,81.6951219512195,,1.55548958906995,45.0740939124137,11664656,0.755635553247212,1.69528537779197,14.818,85.182
52,81.2,77.1,79.1,,0.444197154509531,47.012333719663,2890450,-0.617821850291543,0.606766049074667,13.205,86.795
53,83,77.5,80.1829268292683,,0.913639391631709,45.2562777741472,4896640,-1.10933298043542,0.962809676840454,2.349,97.651
54,83.6,79.4,81.4487804878049,,0.978697786570341,47.2675160250259,19147395,0.141129967876975,1.17495264216968,18.904,81.096
55,81.1,76.3,78.6414634146341,,0.726786704810745,46.2662963593824,157163170,-0.17176717755585,0.93950541093758,19.056,80.944
56,83,79,80.9512195121951,,0.781506562236639,46.2223004499946,32509057,-0.662170793529716,1.11059917110884,18.43,81.57
57,85.7,78.7,82.1146341463415,,0.483675544447657,47.5926856135066,29965384,-0.692841861236954,0.805988907327058,21.378,78.622
58,83.1,77.9,80.4365853658537,,-1.8537146287573,46.0976110530771,41720726,-2.69951501551236,-1.60197231472939,22.84,77.16
59,83.8,79.9,81.8024390243903,,0.755150133665177,47.3280563925807,5001509,-0.870656589126663,1.03808770233338,14.703,85.297
60,84.2,79.7,81.8951219512195,,1.38952731561803,45.2655681478793,11832782,0.590016537588383,1.52795741614347,14.7,85.3
61,81.9,77.8,79.8,,0.411737855195019,47.1153546370282,2886698,-0.822679883294614,0.598214062880133,13.043,86.957
62,83.3,78,80.5853658536585,,1.3010029017038,45.3445786570053,4878828,-0.719949466667124,1.34911743933303,2.30200000000001,97.698
63,83.8,79.6,81.6487804878049,1241416,1.08581726304756,47.3929954283179,19322866,0.868694356405575,1.13636233305053,18.863,81.137
64,81.2,76.4,78.7414634146342,4961716,0.733599941250847,46.1698979033379,157841889,-0.188989154899031,0.94956550837067,18.881,81.119
65,82.8,79.1,80.9048780487805,1300231,0.695353132322269,46.2438684351103,32814013,-0.763971414189812,1.02214552018811,18.163,81.837
66,85.4,78.7,81.9682926829268,423831,0.483998961260596,47.6085403454821,30223508,-0.720717769177046,0.809077603076875,21.122,78.878
67,83.1,78.1,80.5390243902439,1938576,0.187727800567293,46.1143466510894,41825064,0.143933886234076,0.200687484378332,22.83,77.17
68,83.6,79.9,81.7048780487805,253958,0.739763272434863,47.443880371314,5036384,-1.48157088764066,1.11772736224152,14.38,85.62
69,84.3,79.9,82.0463414634146,989375,1.74582000067359,45.41801099319,11998883,1.04950290202891,1.86533013697943,14.598,85.402
70,82.1,78.1,80.0512195121951,106841,0.376272242619955,47.2834685697254,2872008,-1.05235438166474,0.588807879418738,12.858,87.142
71,83.1,77.8,80.3853658536585,258672,0.620163579337378,45.3736263266519,4912649,-1.39855214009303,0.667241432726619,2.256,97.744
72,83.9,79.7,81.7487804878049,,1.05659125917789,47.4664738824525,19546552,0.838999350897815,1.1071099946107,18.822,81.178
73,81.2,76.4,78.7414634146342,,0.692860276624581,46.0876473531216,158252925,-0.265051290084759,0.914510413562637,18.701,81.299
74,82.9,79.2,81.0048780487805,,0.669740535540783,46.393750997412,33110692,-0.80001995626323,0.993032273243824,17.898,82.102
75,85.6,79,82.219512195122,,0.514773829097755,47.8019326319967,30370293,-0.709427804343142,0.840063257587818,20.865,79.135
76,83,78.1,80.490243902439,,0.272900214681538,46.3453416086635,42181439,0.229090401386349,0.285857246854236,22.82,77.18
77,83.8,80.2,81.9560975609756,,0.847348652246305,47.4679763474813,5100683,-1.37467626472053,1.21574579485077,14.064,85.936
78,84.3,80.1,82.1487804878049,,1.721151439989,45.5475944338371,12177653,1.03377142785345,1.83817579922612,14.498,85.502
79,82.4,78.3,80.3,,0.416901360752097,47.4786772722333,2852590,-0.756438116975554,0.588870489603471,12.708,87.292
80,83.2,78.1,80.5878048780488,,0.471340143966627,45.7536308703915,4963617,-1.54354711231896,0.517369105105909,2.211,97.789
81,83.9,79.8,81.8,,1.00533757867378,47.3260755881115,19629145,0.792587517646634,1.05460141956621,18.782,81.218
82,81.3,76.5,78.8414634146341,,0.733361519937424,46.1457194122896,158910317,-0.255415159548918,0.95943078191871,18.517,81.483
83,83.2,79.5,81.3048780487805,,0.736463978721671,46.5275417044284,33393576,-0.743876715949527,1.05628515029885,17.635,82.365
84,86.1,79.5,82.719512195122,,0.473706907839969,47.9954558645191,30352088,-0.775374196840344,0.800461111271982,20.606,79.394
85,83.6,78.7,81.090243902439,,0.416877359168292,46.4265851882533,42438398,0.37304552347498,0.429833546326634,22.81,77.19
86,84.2,80.4,82.2536585365854,,0.992219728591882,47.5206634866369,5143977,-1.2438943662732,1.35346011400427,13.753,86.247
87,84.4,80.3,82.3,,1.49156648912847,45.7395749911307,12320637,0.799422656982681,1.60845510176755,14.398,85.602
88,82.8,78.7,80.7,,0.507053283010163,47.0978889205371,2868343,-0.425825398021756,0.642139401786018,12.59,87.41
89,83.9,78.8,81.2878048780488,,0.44392928847521,46.0813502821455,4979700,-1.56609972446087,0.488911943991581,2.167,97.833
90,84,79.9,81.9,,0.746339477969813,47.1730619486038,19747709,0.527807559356073,0.796807975480466,18.741,81.259
91,81.2,76.3,78.690243902439,,0.73621730882542,46.0579005518947,159912569,-0.284256234098651,0.966674782180289,18.329,81.671
92,82.8,79.2,80.9560975609756,,0.792367505802859,46.5887797311702,33687036,-0.698702084016848,1.10874798285391,17.374,82.626
93,85.6,79.2,82.3219512195122,,0.355569240058298,48.0337340969852,30433066,-0.919145180646347,0.683771061907009,20.345,79.655
94,83.1,78.3,80.6414634146341,,0.865702643950251,46.5246922858045,42654597,0.821852310020411,0.87865693932128,22.8,77.2
95,84.1,80.4,82.2048780487805,,1.05745468551674,47.7030077869698,5186870,-1.19260481951419,1.41161621630385,13.447,86.553
96,84.5,80.4,82.4,,1.43921665259925,45.9271733775535,12556562,0.74925064728382,1.55480059894141,14.299,85.701
97,82.7,78.8,80.7024390243902,,0.706423849687002,46.8017248488583,2898109,-0.219236536294951,0.839047238460703,12.474,87.526
98,83.4,78.7,80.9926829268293,,0.579446241677791,46.1483902861869,4988278,-1.42467436077118,0.623385919307908,2.124,97.876
99,84,79.9,81.9,,1.13234865466606,47.3007288127669,19955331,0.913336125759693,1.18279215486163,18.7,81.3
100,81.1,76.1,78.5390243902439,,0.724676067451429,46.0415237778822,161836238,-0.322855438046257,0.958268060593122,18.138,81.862
101,83,79.4,81.1560975609756,,0.757874492811929,46.6602727042597,34032105,-0.749926103717294,1.07205162087653,17.114,82.886
102,85.8,79.5,82.5731707317073,,0.263868788565368,48.146161999555,30449775,-1.03227976096816,0.592247248892875,20.083,79.917
103,83.5,78.6,80.990243902439,,0.807218538573871,46.6417865210211,43551192,0.701902385917319,0.838301068113641,22.776,77.224
104,84.1,80.6,82.3073170731707,,1.25645398510305,47.6586272694698,5252218,-0.992235060870632,1.60131965237834,13.148,86.852
105,84.6,80.4,82.4487804878049,,1.56194049810399,46.211541527932,12718524,0.867186152709259,1.67739012761928,14.2,85.8
106,82.8,79,80.8536585365854,,0.780392644135167,47.2157559920902,2945216,-0.154006347380335,0.912853068832918,12.358,87.642
107,84,79,81.4390243902439,,0.506300002451376,46.0317342716798,4994033,-1.53894185630458,0.550223217018871,2.081,97.919
108,84,79.9,81.9,1210159,1.19968215419992,47.4050796630968,20218270,0.931952478221833,1.26116200732881,18.65,81.35
109,81.1,76.1,78.5390243902439,4774029,0.63264399508256,46.1761236508463,163395307,-0.453841679756109,0.871785260117191,17.942,82.058
110,83.1,79.5,81.2560975609756,1303250,0.679374473924223,46.8942738973832,34228936,-0.833708171520974,0.988958891589791,16.857,83.143
111,85.7,79.6,82.5756097560976,182636,0.29020211635109,48.1033521458614,30490320,-1.02801175696707,0.618752778579461,19.82,80.18
112,83.4,78.7,80.9926829268293,2719112,0.373724559895838,46.658827722777,43789062,0.211141645524424,0.421625391544917,22.739,77.261
113,84.1,80.8,82.409756097561,200000,1.34744505956262,47.6461826418827,5337330,-0.913960681281971,1.68537210192368,12.854,87.146
114,84.6,80.5,82.5,791229,1.68452310845434,46.4011508956038,12976329,0.949422218240633,1.80566369778429,14.096,85.904
115,83.1,79.2,81.1024390243903,75998,0.643350903737356,47.2092623311919,2971347,-0.291439392403564,0.7744611852936,12.243,87.757
116,83.9,79.2,81.4926829268293,240000,0.385228018372369,46.247307373246,5081005,-1.65392677779666,0.428116624357897,2.039,97.961
117,84.2,80,82.0487804878049,,1.412548033188,47.5011713906423,20396697,1.08492803121353,1.48750598693977,18.589,81.411
118,81.2,76.2,78.6390243902439,,0.526435395564053,46.1907553625692,164634753,-0.58325455730801,0.767437430461766,17.744,82.256
119,83.1,79.5,81.2560975609756,,0.605929132212552,46.9328772906074,34511971,-0.918358004456041,0.912161082441796,16.602,83.398
120,85.9,79.7,82.7243902439024,,0.274451849056795,48.2426450501162,30620365,-1.0664931397133,0.603171755538467,19.556,80.444
121,83.3,78.6,80.8926829268293,,0.300526701992065,46.5908498445375,43884544,0.0759898177879571,0.366515155973305,22.688,77.312
122,84.3,80.9,82.5585365853659,,1.16164515996039,47.7020933562943,5399893,-1.08052409501122,1.48815067487379,12.569,87.431
123,84.9,80.7,82.7487804878049,,1.53610551570388,46.5731198116897,13249617,0.766974495363977,1.66174925937128,13.988,86.012
124,82.9,79.1,80.9536585365854,,0.495838925879129,47.1055280614086,2992152,-0.46451835692407,0.629088602704045,12.126,87.874
125,83.9,79.4,81.5951219512195,,0.455184695275022,46.6071764423229,5136194,-1.52577216039863,0.496003003468172,1.999,98.001
