QualityOfLifeKey,People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",Pregnant women receiving prenatal care (%),Age dependency ratio (% of working-age population),Births attended by skilled health staff (% of total),"Community health workers (per 1,000 people)",Consumption of iodized salt (% of households)
0,99.23464422,99.80519484,,6.46600008,7.017000198,6.760000229,,44.495093,98.8,,
1,98.8536874,99.8817868,,5.096000195,5.065999985,5.079999924,,49.68456775,99.4,,
2,100,99.12444484,,4.289999962,5.139999866,4.75,,51.54579141,,,
3,99.93825616,98.65922614,,9.265000343,7.806000233,8.489999771,,53.76490814,97.9,,
4,100,99.2211727,,10.89500046,11.39599991,11.17000008,,49.8912304,98.2,,
5,99.53959557,99.03911816,,7.374000072,7.59499979,7.489999771,,53.16559748,,,
6,99.77814769,99.99115238,,5.217999935,4.877999783,5.03000021,,48.55723254,99.4,,
7,100.0000011,99.5972387,,5.27699995,4.436999798,4.829999924,,51.24166514,98.8,,
8,100.0000006,99.48530496,,9.508999825,7.598999977,8.43999958,,52.53465089,,,
9,99.23461957,99.75033789,,6.092000008,6.521999836,6.320000172,,44.23699432,98.8,,
10,98.86083682,99.88154042,,4.625,4.614999771,4.619999886,,49.69711035,99.4,,
11,99.99999679,99.12319667,,4.949999809,5.690000057,5.349999905,,51.37202339,,,
12,99.94596129,98.65848149,,9.112999916,7.861999989,8.449999809,,53.83190686,98.3,,
13,99.9999976,99.2217707,,10.17399979,10.31400013,10.25,,50.36474056,98.4,,
14,99.56418567,99.06304979,,7.254000187,6.903999805,7.070000172,,53.23297694,,,
15,99.79977738,99.99115238,,4.918000221,4.668000221,4.78000021,,48.18525523,99.3,0.049,
16,100,99.5972366,,4.537000179,3.335000038,3.900000095,,51.56839094,98.7,,
17,100.0000006,99.48554043,,9.31499958,7.403999805,8.25,,52.46878121,,,
18,99.23549716,99.69595411,,5.652999878,6.383999825,6.039999962,100,44.03477573,98.8,,
19,98.86794461,99.88129549,,4.495999813,4.724999905,4.619999886,,49.6149867,99.3,,
20,99.99999841,99.12197081,,4.956999779,5.515999794,5.260000229,,51.26708849,,,
21,99.9535018,98.65774119,,8.093000412,7.272999763,7.659999847,,53.86296928,98.1,0.028,
22,100.0000024,99.22237587,,8.795999527,8.545999527,8.659999847,,50.80302623,98.4,,
23,99.58900901,99.08687401,,6.46999979,5.880000114,6.159999847,,53.06149185,,,
24,99.82125589,99.99115238,,4.788000107,4.046999931,4.380000114,,47.89079729,99.2,,
25,100.0000033,99.59723914,,4.197999954,3.447999954,3.799999952,,51.89149682,97.8,,
26,99.99999572,99.48577107,,8.447999954,6.665999889,7.460000038,,52.2773676,,,
27,99.23607708,99.6414571,,5.65199995,6.572000027,6.139999866,,43.93390259,98.7,,
28,98.87501291,99.8810546,,5.414000034,6.092999935,5.78000021,,49.52142753,99.3,,
29,100,99.1207537,,5.093999863,6.065000057,5.619999886,,51.26660924,,,
30,99.96089742,98.65699341,,7.43900013,6.718999863,7.059999943,,53.93670628,98,,
31,100,99.22296785,,7.644999981,7.414999962,7.519999981,,51.20103956,98.5,,
32,99.61360461,99.11049611,,6.56099987,5.93200016,6.230000019,,52.83327042,,,
33,99.84255603,99.99115238,,4.565000057,3.95600009,4.230000019,98.3,47.74597554,99.1,,
34,100.0000022,99.59723723,,4.068999767,3.338999987,3.680000067,,52.22582631,,,
35,99.99999802,99.48600881,,7.604000092,6.47300005,6.980000019,,52.05597662,,,
36,99.23635504,99.5868457,,7.005000114,9.532999992,8.340000153,,43.97675318,98.6,,
37,98.88203953,99.88081511,,8.059000015,10.27600002,9.25,,49.52581393,99.3,,
38,100,99.11955254,,6.422999859,8.494000435,7.539999962,,51.39551483,,,
39,99.96814699,98.65624424,,8.80300045,8.682999611,8.739999771,,54.16892127,97.9,,
