Series Name,Series Code,Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Canada,CAN,99.23464422,99.23461957,99.23549716,99.23607708,99.23635504,99.23634886,99.23589396,99.23432608,99.23268617,99.23098502,99.22922139,99.22739547,99.22553764,99.22363119,99.22164984,99.22181066
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,United States,USA,98.8536874,98.86083682,98.86794461,98.87501291,98.88203953,98.97895208,99.07488707,99.16968809,99.26337949,99.35588121,99.44715776,99.53713865,99.62581578,99.71312112,99.79904438,99.88352668
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,United Kingdom,GBR,100,99.99999679,99.99999841,100,100,99.99999846,99.99999695,100.0000015,99.9999985,99.99999851,100.0000015,100.0000015,100.0000015,100.0000015,99.99999711,99.99999856
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,France,FRA,99.93825616,99.94596129,99.9535018,99.96089742,99.96814699,99.97524196,99.98217792,99.98896576,99.99558687,100,100,100,100,100,100.000003,99.9999985
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Germany,DEU,100,99.9999976,100.0000024,100,100,100,100,100,100.0000024,100,100.0000024,99.99999762,99.99999764,99.99999765,100,100.0000023
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Sweden,SWE,99.53959557,99.56418567,99.58900901,99.61360461,99.63795971,99.66207078,99.68644719,99.71087029,99.7347975,99.75824575,99.78123103,99.80376396,99.82585352,99.82620051,99.82653896,99.82686763
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Australia,AUS,99.77814769,99.79977738,99.82125589,99.84255603,99.86367093,99.88315015,99.89196863,99.90076728,99.90958842,99.9614791,99.97000567,99.96997302,99.9699336,99.96989482,99.96985563,99.96981182
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Denmark,DNK,100.0000011,100,100.0000033,100.0000022,100.0000011,100.0000022,100,99.99999782,99.99999783,99.99999892,99.99999785,99.99999893,100.0000011,99.99999788,100,100.0000011
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Belgium,BEL,100.0000006,100.0000006,99.99999572,99.99999802,100.0000017,99.99999861,100.0000029,99.99999711,99.9999974,99.99999728,99.9999977,100.0000013,99.9999984,99.99999814,99.99999974,99.99999645
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Canada,CAN,99.80519484,99.75033789,99.69595411,99.6414571,99.5868457,99.53213067,99.47721571,99.42171918,99.36619078,99.31064352,99.25507123,99.19947682,99.14388406,99.08828896,99.03268117,99.03286158
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,United States,USA,99.8817868,99.88154042,99.88129549,99.8810546,99.88081511,99.86076619,99.84103269,99.82162867,99.80256859,99.78386084,99.7655241,99.74755356,99.72996764,99.71277377,99.69599445,99.67961928
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,United Kingdom,GBR,99.12444484,99.12319667,99.12197081,99.1207537,99.11955254,99.11836302,99.11718667,99.11602073,99.11485603,99.11370311,99.1125619,99.1114221,99.11029545,99.10917758,99.10805979,99.1069609
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,France,FRA,98.65922614,98.65848149,98.65774119,98.65699341,98.65624424,98.65548291,98.65471549,98.65394664,98.65316717,98.65238469,98.65159618,98.65080463,98.65001007,98.64921248,98.64841485,98.64760678
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Germany,DEU,99.2211727,99.2217707,99.22237587,99.22296785,99.22355919,99.22414752,99.22473284,99.22476301,99.22479556,99.22482335,99.2248559,99.22492357,99.22503522,99.2251891,99.22538453,99.22561915
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Sweden,SWE,99.03911816,99.06304979,99.08687401,99.11049611,99.13391823,99.15713644,99.18000931,99.20237552,99.2243482,99.24592852,99.26713116,99.27900746,99.28966239,99.28848273,99.28733736,99.2862251
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Australia,AUS,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238,99.99115238
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Denmark,DNK,99.5972387,99.5972366,99.59723914,99.59723723,99.59723545,99.59723596,99.59723312,99.5972302,99.5972296,99.59723021,99.59722868,99.59722928,99.59723094,99.59722729,99.59722892,99.59722947
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Belgium,BEL,99.48530496,99.48554043,99.48577107,99.48600881,99.48610716,99.48611012,99.48612019,99.48611998,99.48612561,99.48613062,99.48613596,99.4861443,99.4861459,99.48614999,99.48615574,99.48615647
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,Canada,CAN,6.46600008,6.092000008,5.652999878,5.65199995,7.005000114,7.243000031,7.008999825,6.816999912,6.597000122,6.388999939,6.291999817,6.241000175,5.850999832,5.488999844,5.25,9.38599968
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,United States,USA,5.096000195,4.625,4.495999813,5.414000034,8.059000015,8.609999657,8.461000443,7.887000084,7.068999767,6.061999798,5.177999973,4.789000034,4.311999798,3.84100008,3.611000061,8.345000267
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,United Kingdom,GBR,4.289999962,4.949999809,4.956999779,5.093999863,6.422999859,6.880000114,7.34100008,7.381000042,7.032999992,5.821000099,5.124000072,4.68200016,4.218999863,3.941999912,3.53399992,4.15500021
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,France,FRA,9.265000343,9.112999916,8.093000412,7.43900013,8.80300045,9.069000244,9.119000435,9.357999802,9.789999962,10.02499962,9.904000282,9.852999687,9.373999596,9.06099987,8.347999573,7.953000069
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,Germany,DEU,10.89500046,10.17399979,8.795999527,7.644999981,7.311999798,6.499000072,5.578000069,5.181000233,4.919000149,4.631999969,4.218999863,3.740999937,3.316999912,2.910000086,2.73300004,3.375
