HealthKey,Country Name,Year,"Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Stillbirth rate (per 1,000 total births)",Diabetes prevalence (% of population ages 20 to 79),Prevalence of current tobacco use (% of adults),"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Physicians (per 1,000 people)","Prevalence of HIV, total (% of population ages 15-49)",Domestic general government health expenditure (% of GDP),"Immunization, Pol3 (% of one-year-old children)","Nurses and midwives (per 1,000 people)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Immunization, HepB3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)"
0,Canada,2005,94,3.1,93,2.971604709,..,..,57.101,94.329,..,..,6.59905815,93,9.9467,..,14,5.2
1,United States,2005,92,3.2,96,2.985313589,..,..,81.507,141.969,..,..,6.62940884,92,9.9177,9.49,93,6.7
2,United Kingdom,2005,82,3.72,91,4.24686781,..,..,61.571,97.444,4.8134,..,6.86174393,91,11.87,13.89,..,5.1
3,France,2005,87,7.22,98,4.594668145,..,..,56.754,126.589,6.6327,..,7.41065979,98,8.1181,13.09,35,3.3
4,Germany,2005,96,8.47,96,2.610207775,..,..,57.71,111.806,3.4314,0.1,7.80344439,95,12.4996,13.28,90,3.9
5,Sweden,2005,96,2.93,98,3.035294294,..,..,51.076,79.604,3.4509,..,6.70755053,98,11.1716,8.64,..,3
6,Australia,2005,94,3.9,92,2.835246424,..,..,47.595,85.447,2.7794,0.1,5.73987436,92,9.7628,12.08,95,4.8
7,Denmark,2005,95,3.86,93,2.605724535,..,..,69.267,111.142,3.3333,0.1,7.61281252,93,9.8279,12.29,..,4.2
8,Belgium,2005,88,6.44,97,3.235151182,..,..,62.164,114.317,2.8521,..,6.89790821,97,9.4046,13.13,77,4
9,Canada,2006,93,3.02,95,3.037840866,..,..,55.857,91.806,1.9086,..,6.4866991,95,10.0236,..,14,5.2
10,United States,2006,92,3.18,96,2.962895127,..,..,80.928,141.119,..,..,6.80890989,93,..,..,93,6.7
11,United Kingdom,2006,85,3.54,92,4.172086459,..,..,60.822,99.258,4.9087,..,7.06341505,92,11.57,..,..,5
12,France,2006,89,7.11,99,4.527372656,..,..,56.165,123.283,6.6225,..,7.40223742,99,8.3198,..,39,3.3
13,Germany,2006,96,8.3,96,2.524627399,..,..,56.008,108.484,3.4748,0.1,7.65940762,94,12.6423,..,87,3.8
14,Sweden,2006,97,2.89,98,2.988525345,..,..,49.434,77.773,3.5371,..,6.63158321,98,11.3213,..,..,2.8
15,Australia,2006,94,3.93,92,2.847147581,..,..,48.235,82.945,2.8338,0.1,5.72573614,92,..,..,95,4.7
16,Denmark,2006,90,3.79,93,2.489988387,..,..,68.409,115.834,3.4192,0.1,7.68989229,93,9.7904,..,..,4
17,Belgium,2006,92,6.35,98,3.216214564,..,..,61.11,110.936,2.8664,..,6.8076849,99,9.5324,..,94,4
18,Canada,2007,94,2.96,94,3.099828202,..,28.1,55.455,91.762,..,..,6.57271051,99,10.1208,..,14,5.1
19,United States,2007,92,3.14,96,2.990365551,..,29.1,79.447,138.605,..,..,6.9233551,93,..,..,93,6.6
20,United Kingdom,2007,86,3.39,92,4.09587707,..,30.3,60.006,97.559,4.9607,..,7.0624342,92,11.0266,..,..,4.9
21,France,2007,90,7.06,99,4.493520958,..,34.5,54.815,120.77,6.5901,..,7.33408403,99,8.1853,..,42,3.2
22,Germany,2007,97,8.24,96,2.436869888,..,31.2,55.294,106.198,3.5287,0.1,7.55543995,95,12.8448,..,86,3.7
23,Sweden,2007,96,2.86,98,2.980534987,..,41.7,47.552,77.631,3.6204,..,6.59803152,98,11.4345,..,..,2.7
24,Australia,2007,94,..,92,2.898324393,..,22.4,48.119,84.729,2.9954,0.1,5.88174677,92,10.1586,..,94,4.5
25,Denmark,2007,89,3.69,87,2.375087663,..,28.5,69.511,115.937,3.4527,0.1,7.80592728,87,9.5406,..,..,3.8
26,Belgium,2007,92,6.27,98,3.189399669,..,27.8,63.062,109.277,2.8855,..,6.77582026,99,9.6536,..,94,3.9
27,Canada,2008,93,2.85,92,3.06817921,..,..,55.879,89.926,1.959,..,6.70117044,96,10.289,..,28,5.1
28,United States,2008,92,3.13,96,3.08444569,..,..,78.705,136.811,..,..,7.25172758,94,..,..,94,6.5
29,United Kingdom,2008,86,3.33,92,4.009589099,..,..,60.097,96.722,5.1063,..,7.38709784,92,10.9344,..,..,4.8
30,France,2008,89,6.9,99,4.496407185,..,..,55.022,118.248,6.5837,..,7.4163928,99,8.4741,..,47,3.2
31,Germany,2008,97,8.21,96,2.341947825,..,..,54.726,104.309,3.5863,0.1,7.71768188,95,13.1005,..,87,3.6
32,Sweden,2008,96,2.81,98,2.96220734,..,..,47.389,75.892,3.6749,..,6.7719183,98,11.4697,..,..,2.6
33,Australia,2008,94,3.82,92,2.932136445,..,..,46.643,81.993,3.0056,0.1,5.97145414,92,10.2627,..,94,4.4
34,Denmark,2008,87,3.57,88,2.26746988,..,..,67.182,107.446,3.5768,0.1,7.99141836,88,9.8167,..,..,3.7
35,Belgium,2008,93,6.25,99,3.138696838,..,..,61.626,111.631,2.9021,..,7.2696805,99,9.7552,..,98,3.8
36,Canada,2009,91,2.8,91,2.992871117,..,..,54.772,87.745,..,..,7.52118206,93,10.3743,..,42,5
37,United States,2009,90,3.08,95,2.969908681,..,..,79.055,134.966,..,..,7.87523222,93,..,..,92,6.4
38,United Kingdom,2009,86,3.26,93,3.913269791,..,..,58.132,94.258,5.2479,..,8.17551804,93,10.6783,..,..,4.6
39,France,2009,89,6.66,98,4.491379923,..,..,55.372,118.419,6.4945,..,7.97806454,98,8.7688,..,51,3.1
40,Germany,2009,97,8.24,96,2.281860086,..,..,54.228,103.586,3.6638,0.1,8.50212383,95,13.4734,..,88,3.5
41,Sweden,2009,97,2.76,98,2.921757666,..,..,46.728,74.488,3.7438,..,7.23678303,98,11.489,..,..,2.6
42,Australia,2009,94,3.77,92,2.91544232,..,..,47.91,81.768,3.1085,0.1,6.25201321,92,10.7496,..,94,4.2
43,Denmark,2009,84,3.49,89,2.187493579,..,..,64.924,106.703,3.6488,0.1,9.01539803,89,10.0744,..,..,3.6
44,Belgium,2009,95,6.15,98,3.080297786,..,..,61.099,107.237,2.9078,..,7.87510061,98,9.8818,..,97,3.7
45,Canada,2010,90,2.78,89,2.92952011,..,24.7,52.65,85.388,2.0384,..,7.47694063,90,9.3233,10.1,56,5
46,United States,2010,92,3.05,95,2.972871293,..,27.9,77.159,131.884,..,0.5,7.94476509,93,12.5927,9.36,92,6.2
47,United Kingdom,2010,89,2.93,94,3.796753932,..,25.4,57.445,91.112,5.2462,..,8.07929516,94,10.4991,12.06,..,4.4
48,France,2010,89,6.43,99,4.453799543,..,34.5,53.661,115.675,6.5029,..,7.9076767,99,9.0124,12.4,64,3.1
